getUser,2019-05-02 18:05:14.505
getUser,2019-05-03 13:45:45.857
getUser,2019-05-13 10:55:14.566
getUser,2019-05-13 10:56:12.901
addMedic,2019-05-13 11:00:40.764
getUser,2019-05-13 11:00:40.779
addMedic,2019-05-13 11:01:16.491
addPatient,2019-05-13 11:01:16.52
getUser,2019-05-13 11:01:16.529
addMedicine,2019-05-13 11:01:16.546
getUser,2019-05-13 11:01:16.554
addMedic,2019-05-13 11:02:05.874
addPatient,2019-05-13 11:02:05.895
getUser,2019-05-13 11:02:05.901
addMedicine,2019-05-13 11:02:05.908
getUser,2019-05-13 11:02:05.915
addMedic,2019-05-13 11:02:51.785
addPatient,2019-05-13 11:02:51.801
getUser,2019-05-13 11:02:51.806
addMedicine,2019-05-13 11:02:51.815
getUser,2019-05-13 11:02:51.821
addMedic,2019-05-13 11:03:07.542
addPatient,2019-05-13 11:03:07.563
getUser,2019-05-13 11:03:07.57
addMedicine,2019-05-13 11:03:07.577
getUser,2019-05-13 11:03:07.583
getUser,2019-05-13 11:03:07.588
getPatientsFromMedic,2019-05-13 11:03:07.595
writeAllDataToCSV,2019-05-13 11:03:07.697
addMedic,2019-05-13 11:07:21.809
addPatient,2019-05-13 11:07:21.866
getUser,2019-05-13 11:07:21.873
addMedicine,2019-05-13 11:07:21.879
getUser,2019-05-13 11:07:21.885
addMedic,2019-05-13 11:07:47.061
addPatient,2019-05-13 11:07:47.128
getUser,2019-05-13 11:07:47.136
getUser,2019-05-13 11:07:47.143
addMedicine,2019-05-13 11:07:47.151
getUser,2019-05-13 11:07:47.158
addMedic,2019-05-13 11:09:25.87
addPatient,2019-05-13 11:09:25.904
getUser,2019-05-13 11:09:25.911
getUserPatient,2019-05-13 11:09:25.919
addMedicine,2019-05-13 11:09:25.926
getUser,2019-05-13 11:09:25.933
addMedic,2019-05-13 11:11:10.501
addPatient,2019-05-13 11:11:10.588
getUser,2019-05-13 11:11:10.597
getUserPatient,2019-05-13 11:11:10.604
addMedicine,2019-05-13 11:11:10.612
getUser,2019-05-13 11:11:10.619
addMedic,2019-05-13 11:12:01.475
addPatient,2019-05-13 11:12:01.548
getUser,2019-05-13 11:12:01.555
getUserPatient,2019-05-13 11:12:01.589
addMedicine,2019-05-13 11:12:01.597
getUser,2019-05-13 11:12:01.604
getUser,2019-05-13 11:12:01.612
addMedic,2019-05-13 11:13:57.586
addPatient,2019-05-13 11:13:57.662
getUser,2019-05-13 11:13:57.671
getUserPatient,2019-05-13 11:13:57.68
addMedicine,2019-05-13 11:13:57.689
getUser,2019-05-13 11:13:57.697
addMedic,2019-05-13 11:15:41.581
addPatient,2019-05-13 11:15:41.637
getUser,2019-05-13 11:15:41.644
getUserPatient,2019-05-13 11:15:41.652
addMedicine,2019-05-13 11:15:41.658
getUser,2019-05-13 11:15:41.665
addMedic,2019-05-13 11:18:31.807
addPatient,2019-05-13 11:18:31.853
getUser,2019-05-13 11:18:31.861
getUserPatient,2019-05-13 11:18:31.869
addMedicine,2019-05-13 11:18:31.876
getUser,2019-05-13 11:18:31.883
addMedic,2019-05-13 11:18:47.821
addPatient,2019-05-13 11:18:47.883
getUser,2019-05-13 11:18:47.892
getUserPatient,2019-05-13 11:18:47.929
addMedicine,2019-05-13 11:18:47.936
getUser,2019-05-13 11:18:47.943
getUser,2019-05-13 11:18:47.952
getPatientsFromMedic,2019-05-13 11:18:47.96
writeAllDataToCSV,2019-05-13 11:18:48.069
addMedic,2019-05-13 11:20:03.526
addPatient,2019-05-13 11:20:03.55
getUser,2019-05-13 11:20:03.557
getUserPatient,2019-05-13 11:20:03.591
addMedicine,2019-05-13 11:20:03.6
getUser,2019-05-13 11:20:03.609
getUser,2019-05-13 11:20:03.616
getPatientsFromMedic,2019-05-13 11:20:03.624
writeAllDataToCSV,2019-05-13 11:20:03.687
addMedic,2019-05-13 11:21:37.261
addPatient,2019-05-13 11:21:37.3
getUser,2019-05-13 11:21:37.32
getUserPatient,2019-05-13 11:21:37.361
addMedicine,2019-05-13 11:21:37.374
getUser,2019-05-13 11:21:37.381
getUser,2019-05-13 11:21:37.388
getPatientsFromMedic,2019-05-13 11:21:37.398
addMedic,2019-05-13 11:22:37.58
addPatient,2019-05-13 11:22:37.641
getUser,2019-05-13 11:22:37.651
getUserPatient,2019-05-13 11:22:37.685
addMedicine,2019-05-13 11:22:37.695
getUser,2019-05-13 11:22:37.702
getUser,2019-05-13 11:22:37.708
getPatientsFromMedic,2019-05-13 11:22:37.715
addMedic,2019-05-13 11:22:45.715
addPatient,2019-05-13 11:22:45.738
getUserPatient,2019-05-13 11:22:45.746
addMedicine,2019-05-13 11:22:45.755
getUser,2019-05-13 11:22:45.765
getUser,2019-05-13 11:22:45.803
getPatientsFromMedic,2019-05-13 11:22:45.812
addMedic,2019-05-13 11:23:57.928
addPatient,2019-05-13 11:23:57.958
getUserPatient,2019-05-13 11:23:57.966
addMedicine,2019-05-13 11:23:57.974
getUser,2019-05-13 11:23:57.983
addMedic,2019-05-13 11:24:21.58
addPatient,2019-05-13 11:24:21.625
getUserPatient,2019-05-13 11:24:21.637
addMedicine,2019-05-13 11:24:21.648
getUser,2019-05-13 11:24:21.661
getUser,2019-05-13 11:24:21.671
getPatientsFromMedic,2019-05-13 11:24:21.683
addMedic,2019-05-13 11:24:40.719
addPatient,2019-05-13 11:24:40.772
getUserPatient,2019-05-13 11:24:40.782
addMedicine,2019-05-13 11:24:40.792
getUser,2019-05-13 11:24:40.804
addMedic,2019-05-13 11:25:04.686
addPatient,2019-05-13 11:25:04.724
addMedicine,2019-05-13 11:25:04.732
getUser,2019-05-13 11:25:04.739
addMedic,2019-05-13 11:25:15.283
addPatient,2019-05-13 11:25:15.342
addMedicine,2019-05-13 11:25:15.35
getUser,2019-05-13 11:25:15.359
getUser,2019-05-13 11:25:15.368
getPatientsFromMedic,2019-05-13 11:25:15.376
addMedic,2019-05-13 11:27:01.383
addPatient,2019-05-13 11:27:01.435
getUserPatient,2019-05-13 11:27:01.442
addMedicine,2019-05-13 11:27:01.451
getUser,2019-05-13 11:27:01.459
getUser,2019-05-13 11:27:01.467
getPatientsFromMedic,2019-05-13 11:27:01.476
addMedic,2019-05-13 11:27:50.732
addPatient,2019-05-13 11:27:50.79
addMedicine,2019-05-13 11:27:50.798
getUser,2019-05-13 11:27:50.807
writeAllDataToCSV,2019-05-13 11:27:50.898
getUser,2019-05-13 11:28:15.706
getUser,2019-05-13 11:28:15.762
getUser,2019-05-13 11:28:48.314
getUser,2019-05-13 11:28:48.349
writeAllDataToCSV,2019-05-13 11:28:48.394
getUser,2019-05-17 22:10:50.041
getUser,2019-05-17 22:10:50.071
writeAllDataToCSV,2019-05-17 22:10:50.148
getUser,2019-05-17 22:28:57.263
getUser,2019-05-17 22:28:57.285
writeAllDataToCSV,2019-05-17 22:28:57.336
getUser,2019-06-02 00:08:06.243
